agent_id,sex,age,education_level,social_class,is_alive,name,role,family_id,home_zone,work_zone,wealth,income_per_day,satisfaction,goals,integrity,greed,ambition,family_loyalty,competence,empathy,initial_trust_score
1,M,30,5,middle,TRUE,Albert Santiago,teacher,Santiago,resB,school,351660.23,1109.89,41.62,Support student learning | Monitor construction complaints in resB | Share verified updates with neighbors for Cruz-Montemayor household,0.688,0.103,0.644,0.778,0.828,0.693,0.688
105,M,19,3,lower,TRUE,Joselito Ferrer,student,Ferrer,resC,school,61161.74,0.00,34.86,Finish school requirements | Monitor medicine availability in resC | Share verified updates with neighbors for Ferrer household,0.685,0.262,0.358,0.606,0.597,0.503,0.473
106,M,50,3,upper,TRUE,Martin Salazar-Gregorio,contractor_owner,Salazar-Gregorio,resA,construction_office,3008274.74,6099.04,93.88,Win and complete project contracts | Monitor transport rumors in resA | Share verified updates with neighbors for Salazar-Gregorio household,0.199,0.783,0.644,0.663,0.725,0.334,0.099
107,F,34,5,middle,TRUE,Lita Escueta,nurse,Escueta,resB,health_center,350621.76,1572.51,40.58,Provide care at the health center | Monitor illness rumors from resB | Help the Escueta household share accurate health updates through Lita,0.676,0.126,0.429,0.565,0.840,0.906,0.675
108,M,63,2,upper,TRUE,Nathaniel Salazar-Castro,market_stall_owner,Salazar-Castro,resA,market,787750.77,2037.14,55.47,Keep market stall profitable | Monitor transport rumors in resA | Share verified updates through coworkers for Salazar-Castro household,0.389,0.401,0.386,0.425,0.510,0.561,0.456
109,M,21,4,lower,TRUE,Luis Salazar-Fernandez,student,Salazar-Fernandez,resC,school,39494.89,0.00,27.46,Finish school requirements | Monitor medicine availability in resC | Share verified updates during barangay visits for Salazar-Fernandez household,0.429,0.359,0.618,0.681,0.785,0.280,0.439
110,F,20,3,lower,TRUE,Hannah Francisco,student,Francisco,resC,school,37575.55,0.00,36.47,Finish school requirements | Monitor construction complaints in resC | Share verified updates with neighbors for Francisco household,0.334,0.116,0.548,0.406,0.548,0.522,0.214
111,F,41,1,lower,TRUE,Corazon Cruz-Yap,market_vendor,Cruz-Yap,resC,market,80685.16,624.64,65.91,Protect stall income and customers | Monitor construction complaints in resC | Share verified updates during barangay visits for Cruz-Yap household,0.440,0.457,0.506,0.714,0.594,0.527,0.270
112,F,31,3,upper,TRUE,Cely Cruz-Bonifacio,contractor_owner,Cruz-Bonifacio,resA,construction_office,565211.30,6545.72,49.85,Win and complete project contracts | Monitor service quality in resA | Share verified updates during barangay visits for Cruz-Bonifacio household,0.701,0.020,0.624,0.488,0.693,0.614,0.672
113,F,30,4,middle,TRUE,Beatriz Tan,sari_sari_store_owner,Tan,resB,neighborhood_store,355411.22,1554.92,52.83,Keep neighborhood store stocked | Monitor construction complaints in resB | Share verified updates with neighbors for Tan household,0.634,0.390,0.652,0.446,0.896,0.123,0.332
114,F,20,3,lower,TRUE,Hazel Bernal,student,Bernal,resC,school,125390.19,0.00,40.33,Finish school requirements | Monitor job leads in resC | Share verified updates through coworkers for Bernal household,0.878,0.274,0.499,0.573,0.771,0.220,0.279
115,M,38,3,middle,TRUE,Gregorio Salazar-Guevarra,unemployed_jobseeker,Salazar-Guevarra,resB,residential_area,319133.04,55.33,42.48,Find stable short-term work | Monitor construction complaints in resB | Share verified updates during commute routes for Salazar-Guevarra household,0.534,0.202,0.512,0.262,0.641,0.861,0.601
116,M,34,1,lower,TRUE,Vicente Cruz-Rizal,market_vendor,Cruz-Rizal,resC,market,88737.20,920.41,33.06,Protect stall income and customers | Monitor barangay aid lists in resC | Share verified updates during commute routes for Cruz-Rizal household,0.577,0.526,0.461,0.552,0.358,0.414,0.173
117,M,40,3,lower,TRUE,Isidro Cruz-Canete,factory_plant_worker,Cruz-Canete,resC,factory,79205.14,823.99,34.12,Maintain shift attendance | Monitor transport rumors in resC | Share verified updates during commute routes for Cruz-Canete household,0.522,0.194,0.543,0.384,0.592,0.362,0.386
118,M,36,2,upper,TRUE,Victor Yap,business_owner,Yap,resA,business_district,841914.03,10252.05,40.19,Protect business reputation | Monitor health-center queues in resA | Share verified updates with neighbors for Yap household,0.639,0.348,0.711,0.519,0.613,0.298,0.345
119,F,38,3,lower,TRUE,Ofelia Cruz-Lopez,skilled_tradesperson,Cruz-Lopez,resC,field_service,165152.89,1255.04,45.11,Maintain client referrals | Monitor family welfare in resC | Share verified updates at community meetings for Cruz-Lopez household,0.460,0.352,0.438,0.642,0.594,0.581,0.193
120,M,49,5,middle,TRUE,Bernardo David,doctor,David,resA,clinic,688160.50,5452.04,51.61,Keep patient care reliable | Monitor budget gossip in resA | Share verified updates through coworkers for Salazar-Magno household,0.618,0.134,0.485,0.845,0.653,0.627,0.455
121,F,17,2,middle,TRUE,Hannah Salazar-Pena,student,Salazar-Pena,resB,school,158160.65,0.00,75.89,Finish school requirements | Monitor school attendance in resB | Share verified updates during commute routes for Salazar-Pena household,0.391,0.101,0.526,0.427,0.752,0.383,0.180
122,F,39,3,middle,TRUE,Rhea Cruz-Tuazon,skilled_tradesperson,Cruz-Tuazon,resB,field_service,388437.44,1927.22,32.57,Maintain client referrals | Monitor health-center queues in resB | Share verified updates during commute routes for Cruz-Tuazon household,0.522,0.308,0.379,0.309,0.846,0.513,0.362
123,M,36,4,middle,TRUE,Manny Cruz-Rivera,police_officer,Cruz-Rivera,resB,police_station,278754.69,1485.90,52.57,Maintain patrol readiness around resB | Verify safety reports before they spread | Build trust with the Cruz-Rivera household through Manny's barangay beat,0.764,0.119,0.522,0.586,0.671,0.400,0.680
124,F,24,3,lower,TRUE,Violeta Salazar-Tolentino,construction_worker,Salazar-Tolentino,resC,construction_site,85420.82,551.29,29.06,Keep steady construction work | Monitor medicine availability in resC | Share verified updates through coworkers for Salazar-Tolentino household,0.505,0.308,0.114,0.964,0.543,0.553,0.194
125,F,45,2,middle,TRUE,Alyssa Salazar-Canete,clerk_office_worker,Salazar-Canete,resB,office,364597.02,1034.25,61.59,Keep office relationships stable | Monitor family welfare in resB | Share verified updates at the market for Salazar-Canete household,0.466,0.239,0.306,0.673,0.646,0.467,0.227
126,M,23,3,lower,TRUE,Eduardo Cruz-Austria,construction_worker,Cruz-Austria,resC,construction_site,139312.28,893.31,30.36,Keep steady construction work | Monitor election promises in resC | Share verified updates with neighbors for Cruz-Austria household,0.319,0.375,0.448,0.629,0.653,0.244,0.211
127,M,41,3,middle,TRUE,Eduardo Salazar-Guevarra,clerk_office_worker,Salazar-Guevarra,resB,office,259362.08,1259.13,57.84,Keep office relationships stable | Monitor market prices in resB | Share verified updates through coworkers for Salazar-Guevarra household,0.415,0.410,0.451,0.362,0.578,0.799,0.275
128,M,46,3,lower,TRUE,Alfredo Salazar-Jacinto,construction_worker,Salazar-Jacinto,resC,construction_site,67270.72,850.15,36.73,Keep steady construction work | Monitor barangay aid lists in resC | Share verified updates with neighbors for Salazar-Jacinto household,0.725,0.208,0.351,0.325,0.512,0.590,0.365
129,M,41,4,upper,TRUE,Ricardo Padilla,civil_servant_admin,Padilla,resA,municipal_hall,809842.30,3479.39,51.68,Keep public records accurate | Monitor budget gossip in resA | Share verified updates through family chats for Padilla household,0.606,0.427,0.490,0.750,0.739,0.134,0.197
130,M,16,2,lower,TRUE,Albert Salazar-Gomez,student,Salazar-Gomez,resC,school,86529.95,0.00,19.87,Finish school requirements | Monitor transport rumors in resC | Share verified updates during barangay visits for Salazar-Gomez household,0.538,0.199,0.517,0.569,0.558,0.427,0.229
131,F,47,3,lower,TRUE,Faith Salazar-Mabini,skilled_tradesperson,Salazar-Mabini,resC,field_service,95500.76,1783.46,43.24,Maintain client referrals | Monitor job leads in resC | Share verified updates through coworkers for Salazar-Mabini household,0.460,0.341,0.468,0.676,0.734,0.485,0.258
132,F,38,5,upper,TRUE,Maria Salazar-Navarro,doctor,Salazar-Navarro,resA,clinic,947037.74,10945.34,78.11,Keep patient care reliable | Monitor school attendance in resA | Share verified updates during commute routes for Salazar-Navarro household,0.655,0.207,0.609,0.337,0.881,0.621,0.415
133,M,71,4,middle,TRUE,Victor David,barangay_kagawad,David,resC,barangay_hall,131772.15,796.20,41.70,Respond to resident concerns | Monitor market prices in resC | Share verified updates at the market for Salazar-Austria household,0.467,0.667,0.886,0.914,0.845,0.493,0.519
134,M,33,1,lower,TRUE,Carlo Mabini,construction_worker,Mabini,resC,construction_site,97440.71,767.19,57.62,Keep steady construction work | Monitor family welfare in resC | Share verified updates with neighbors for Mabini household,0.676,0.366,0.540,0.767,0.513,0.449,0.431
135,M,42,5,lower,TRUE,Salvador Cruz-Luna,skilled_tradesperson,Cruz-Luna,resC,field_service,70288.34,1137.73,49.02,Maintain client referrals | Monitor health-center queues in resC | Share verified updates at the market for Cruz-Luna household,0.451,0.413,0.445,0.332,0.840,0.348,0.069
136,F,17,2,lower,TRUE,Andrea Soriano,student,Soriano,resC,school,77158.57,0.00,31.50,Finish school requirements | Monitor school attendance in resC | Share verified updates at the market for Soriano household,0.528,0.111,0.531,0.711,0.706,0.377,0.466
137,M,16,2,lower,TRUE,Teodoro Salazar-Ferrer,student,Salazar-Ferrer,resC,school,111707.19,0.00,20.97,Finish school requirements | Monitor election promises in resC | Share verified updates at the market for Salazar-Ferrer household,0.505,0.204,0.455,0.395,0.383,0.356,0.172
138,M,21,4,lower,TRUE,Teodoro Salazar-Reyes,student,Salazar-Reyes,resC,school,100147.48,0.00,40.35,Finish school requirements | Monitor family welfare in resC | Share verified updates through family chats for Salazar-Reyes household,0.429,0.239,0.595,0.517,0.735,0.258,0.180
139,F,16,2,middle,TRUE,Francesca Salazar-Mendoza,student,Salazar-Mendoza,resB,school,274585.02,0.00,51.98,Finish school requirements | Monitor service quality in resB | Share verified updates during commute routes for Salazar-Mendoza household,0.598,0.423,0.293,0.423,0.363,0.419,0.041
140,M,45,3,lower,TRUE,Noel Cruz-Dimaculangan,construction_worker,Cruz-Dimaculangan,resC,construction_site,92508.61,711.77,44.13,Keep steady construction work | Monitor road repairs in resC | Share verified updates through school contacts for Cruz-Dimaculangan household,0.619,0.420,0.431,0.488,0.766,0.510,0.191
141,F,31,2,upper,TRUE,Hannah Cruz-Villanueva,business_owner,Cruz-Villanueva,resA,business_district,738961.60,10864.65,66.90,Protect business reputation | Monitor market prices in resA | Share verified updates through family chats for Cruz-Villanueva household,0.371,0.397,0.677,0.642,0.643,0.360,0.023
142,F,19,3,middle,TRUE,Ana Cruz-Francisco,student,Cruz-Francisco,resB,school,284217.54,0.00,70.35,Finish school requirements | Monitor market prices in resB | Share verified updates through school contacts for Cruz-Francisco household,0.508,0.256,0.466,0.383,0.646,0.569,0.271
143,M,56,4,upper,TRUE,Hernando Salazar-Cervantes,subcontractor,Salazar-Cervantes,resA,construction_site,863570.41,3895.52,53.23,Deliver assigned contract work | Monitor transport rumors in resA | Share verified updates through family chats for Salazar-Cervantes household,0.319,0.534,0.744,0.486,0.847,0.428,0.258
144,F,37,4,lower,TRUE,Diana Ong,market_vendor,Ong,resC,market,175233.46,1050.76,43.14,Protect stall income and customers | Monitor job leads in resC | Share verified updates through coworkers for Ong household,0.355,0.267,0.301,0.590,0.856,0.390,0.391
145,F,16,2,lower,TRUE,Ana Sy,student,Sy,resC,school,119659.10,0.00,30.74,Finish school requirements | Monitor job leads in resC | Share verified updates at community meetings for Sy household,0.571,0.379,0.430,0.720,0.545,0.416,0.000
146,F,37,4,upper,TRUE,Angelica Cruz-Natividad,private_sector_manager,Cruz-Natividad,resA,business_district,471662.67,6688.88,48.85,Meet team and business targets | Monitor family welfare in resA | Share verified updates during commute routes for Cruz-Natividad household,0.506,0.392,0.625,0.685,0.808,0.527,0.417
147,M,28,5,middle,TRUE,Ernesto Cruz-Escueta,civil_servant_admin,Cruz-Escueta,resB,municipal_hall,240366.53,2447.77,50.51,Keep public records accurate | Monitor election promises in resB | Share verified updates during commute routes for Cruz-Escueta household,0.455,0.247,0.389,0.613,0.754,0.318,0.066
148,F,39,4,lower,TRUE,Elvira Cruz-Canete,skilled_tradesperson,Cruz-Canete,resC,field_service,75404.42,717.96,47.85,Maintain client referrals | Monitor family welfare in resC | Share verified updates through coworkers for Cruz-Canete household,0.334,0.335,0.505,0.686,0.931,0.440,0.449
149,F,29,2,upper,TRUE,Mikaela Cruz-Santos,business_owner,Cruz-Santos,resA,business_district,855513.37,5370.11,61.46,Protect business reputation | Monitor medicine availability in resA | Share verified updates through coworkers for Cruz-Santos household,0.671,0.293,0.642,0.557,0.626,0.500,0.286
150,M,72,2,upper,TRUE,Gabriel Salazar-Natividad,elder_retiree,Salazar-Natividad,resA,residential_area,814807.21,1188.08,57.79,Protect household routines | Monitor barangay aid lists in resA | Share verified updates through family chats for Salazar-Natividad household,0.543,0.307,0.491,0.709,0.646,0.262,0.172
151,F,16,2,middle,TRUE,Camille Cruz-Dimaculangan,student,Cruz-Dimaculangan,resB,school,95708.24,0.00,30.42,Finish school requirements | Monitor construction complaints in resB | Share verified updates during barangay visits for Cruz-Dimaculangan household,0.636,0.323,0.342,0.759,0.364,0.342,0.172
152,F,15,2,middle,TRUE,Theresa Salazar-DelRosario,student,Salazar-DelRosario,resB,school,255834.12,0.00,37.52,Finish school requirements | Monitor family welfare in resB | Share verified updates through coworkers for Salazar-DelRosario household,0.434,0.172,0.671,0.359,0.468,0.678,0.395
153,M,23,2,lower,TRUE,Ramon Salazar-Ferrer,construction_worker,Salazar-Ferrer,resC,construction_site,74592.58,706.70,47.52,Keep steady construction work | Monitor family welfare in resC | Share verified updates at community meetings for Salazar-Ferrer household,0.736,0.193,0.446,0.370,0.540,0.712,0.505
154,M,59,4,upper,TRUE,Mark Santiago,mayor,Santiago,resA,city_hall,2663604.30,10727.67,90.58,Manage city-level priorities | Monitor medicine availability in resA | Share verified updates through school contacts for Cruz-Cojuangco household,0.610,0.600,0.868,0.911,0.829,0.430,0.740
155,M,17,2,lower,TRUE,Joshua Salazar-Tan,student,Salazar-Tan,resC,school,39381.01,0.00,68.51,Finish school requirements | Monitor family welfare in resC | Share verified updates with neighbors for Salazar-Tan household,0.514,0.020,0.541,0.557,0.479,0.565,0.371
156,F,19,3,upper,TRUE,Julia Cruz-Ong,contractor_owner,Cruz-Ong,resA,construction_office,651269.72,5102.56,57.45,Win and complete project contracts | Monitor election promises in resA | Share verified updates through family chats for Cruz-Ong household,0.563,0.312,0.717,0.634,0.639,0.507,0.301
157,F,36,3,middle,TRUE,Ana Santiago,factory_plant_worker,Santiago,resB,factory,359891.58,870.47,25.76,Maintain shift attendance | Monitor family welfare in resB | Share verified updates during barangay visits for Santiago household,0.759,0.282,0.472,0.493,0.731,0.560,0.376
158,M,18,2,lower,TRUE,Rolando Salazar-Ramos,student,Salazar-Ramos,resC,school,143380.56,0.00,29.24,Finish school requirements | Monitor health-center queues in resC | Share verified updates during barangay visits for Salazar-Ramos household,0.565,0.133,0.354,0.600,0.521,0.426,0.193
159,F,36,4,lower,TRUE,Wilhelmina Cabral,sari_sari_store_owner,Cabral,resC,neighborhood_store,117673.41,1100.06,47.85,Keep neighborhood store stocked | Monitor service quality in resC | Share verified updates at the market for Cabral household,0.594,0.552,0.593,0.782,0.774,0.334,0.366
160,F,19,3,middle,TRUE,Zenaida Javier,student,Javier,resB,school,228813.54,0.00,44.25,Finish school requirements | Monitor school attendance in resB | Share verified updates at the market for Javier household,0.643,0.338,0.476,0.536,0.481,0.588,0.231
161,M,38,4,middle,TRUE,Christian Dimaculangan,teacher,Dimaculangan,resB,school,381014.34,2443.71,73.04,Support student learning | Monitor medicine availability in resB | Share verified updates at the market for Dimaculangan household,0.698,0.153,0.610,0.618,0.709,0.593,0.635
162,F,48,3,middle,TRUE,Theresa Salazar-Alonzo,home_caregiver,Salazar-Alonzo,resB,residential_homes,226926.43,464.74,56.27,Support household care duties | Monitor health-center queues in resB | Share verified updates during commute routes for Salazar-Alonzo household,0.849,0.024,0.467,0.876,0.705,0.831,0.811
163,M,21,4,lower,TRUE,Jerome Cruz-Lim,student,Cruz-Lim,resC,school,99896.90,0.00,51.13,Finish school requirements | Monitor medicine availability in resC | Share verified updates with neighbors for Cruz-Lim household,0.499,0.255,0.364,0.772,0.678,0.545,0.372
164,M,38,2,lower,TRUE,Andres Cruz-Mendoza,construction_worker,Cruz-Mendoza,resC,construction_site,55235.82,635.62,39.97,Keep steady construction work | Monitor health-center queues in resC | Share verified updates during commute routes for Cruz-Mendoza household,0.697,0.182,0.281,0.656,0.594,0.347,0.511
165,M,42,1,lower,TRUE,Francis Cruz-Uy,construction_worker,Cruz-Uy,resC,construction_site,162438.82,769.21,22.03,Keep steady construction work | Monitor safety reports in resC | Share verified updates through coworkers for Cruz-Uy household,0.495,0.503,0.328,0.358,0.355,0.344,0.175
166,F,23,4,middle,TRUE,Esperanza Cruz-Valenzuela,student,Cruz-Valenzuela,resB,school,247918.26,0.00,47.97,Finish school requirements | Monitor construction complaints in resB | Share verified updates at the market for Cruz-Valenzuela household,0.599,0.394,0.327,0.301,0.559,0.466,0.497
167,M,47,2,lower,TRUE,Victor Salazar-Natividad,construction_worker,Salazar-Natividad,resC,construction_site,101569.83,821.78,43.95,Keep steady construction work | Monitor medicine availability in resC | Share verified updates during barangay visits for Salazar-Natividad household,0.425,0.423,0.317,0.904,0.324,0.508,0.060
168,F,45,1,middle,TRUE,Annaliza Austria,market_vendor,Austria,resB,market,209719.88,1275.81,60.67,Protect stall income and customers | Monitor market prices in resB | Share verified updates through family chats for Austria household,0.826,0.110,0.571,0.598,0.489,0.416,0.310
169,M,41,5,middle,TRUE,Dante Cruz-Fajardo,civil_servant_admin,Cruz-Fajardo,resB,municipal_hall,253576.65,1755.65,40.34,Keep public records accurate | Monitor family welfare in resB | Share verified updates at the market for Cruz-Fajardo household,0.448,0.628,0.437,0.541,0.850,0.375,0.117
170,F,15,2,middle,TRUE,Mikaela Cruz-Roxas,student,Cruz-Roxas,resB,school,136674.62,0.00,37.44,Finish school requirements | Monitor election promises in resB | Share verified updates through family chats for Cruz-Roxas household,0.476,0.434,0.460,0.498,0.489,0.473,0.213
171,M,45,5,upper,TRUE,Gregorio Morales,doctor,Morales,resA,clinic,870289.38,10570.08,90.66,Keep patient care reliable | Monitor transport rumors in resA | Share verified updates through family chats for Morales household,0.704,0.403,0.416,0.385,0.710,0.712,0.444
172,F,17,2,middle,TRUE,Isabel Cruz-Macapagal,student,Cruz-Macapagal,resB,school,129770.81,0.00,38.36,Finish school requirements | Monitor school attendance in resB | Share verified updates through school contacts for Cruz-Macapagal household,0.659,0.286,0.532,0.593,0.625,0.631,0.217
173,M,23,4,lower,TRUE,Fernando Cervantes,student,Cervantes,resC,school,101530.32,0.00,49.04,Finish school requirements | Monitor safety reports in resC | Share verified updates through school contacts for Cervantes household,0.769,0.174,0.477,0.656,0.570,0.307,0.426
174,F,44,4,lower,TRUE,Remedios Canete,unemployed_jobseeker,Canete,resC,residential_area,19913.68,152.46,54.35,Find stable short-term work | Monitor job leads in resC | Share verified updates through coworkers for Canete household,0.648,0.487,0.490,0.538,0.657,0.438,0.219
175,F,15,2,middle,TRUE,Katrina Bonifacio,student,Bonifacio,resB,school,135625.58,0.00,53.28,Finish school requirements | Monitor service quality in resB | Share verified updates at community meetings for Bonifacio household,0.392,0.378,0.561,0.523,0.431,0.607,0.065
176,F,38,3,lower,TRUE,Cely Beltran,skilled_tradesperson,Beltran,resC,field_service,117928.53,1704.88,43.85,Maintain client referrals | Monitor service quality in resC | Share verified updates through family chats for Beltran household,0.415,0.341,0.605,0.799,0.622,0.169,0.064
177,F,15,2,middle,TRUE,Urduja Torres,student,Torres,resB,school,177304.06,0.00,24.47,Finish school requirements | Monitor service quality in resB | Share verified updates during barangay visits for Torres household,0.633,0.164,0.554,0.629,0.428,0.471,0.390
178,M,23,3,middle,TRUE,Francis Castro,clerk_office_worker,Castro,resB,office,403821.42,1550.11,51.81,Keep office relationships stable | Monitor school attendance in resB | Share verified updates through coworkers for Castro household,0.708,0.509,0.331,0.920,0.651,0.183,0.342
179,F,16,2,middle,TRUE,Isabel Escueta,student,Escueta,resB,school,214393.85,0.00,45.54,Finish school requirements | Monitor market prices in resB | Share verified updates through school contacts for Escueta household,0.709,0.164,0.447,0.498,0.619,0.379,0.311
180,M,29,2,middle,TRUE,Ricardo Tolentino,sari_sari_store_owner,Tolentino,resB,neighborhood_store,213374.10,1699.93,43.47,Keep neighborhood store stocked | Monitor permit delays in resB | Share verified updates through coworkers for Tolentino household,0.682,0.437,0.546,0.792,0.680,0.434,0.435
181,M,34,3,lower,TRUE,Roberto Cruz-Legaspi,unemployed_jobseeker,Cruz-Legaspi,resC,residential_area,38038.68,108.11,34.77,Find stable short-term work | Monitor job leads in resC | Share verified updates during barangay visits for Cruz-Legaspi household,0.522,0.465,0.522,0.750,0.572,0.330,0.368
182,F,16,2,middle,TRUE,Michelle Ramos,student,Ramos,resB,school,371382.68,0.00,32.41,Finish school requirements | Monitor permit delays in resB | Share verified updates during barangay visits for Ramos household,0.679,0.496,0.540,0.769,0.605,0.452,0.454
183,M,38,2,lower,TRUE,Renato Cruz-Espiritu,construction_worker,Cruz-Espiritu,resC,construction_site,114129.51,845.57,45.99,Keep steady construction work | Monitor service quality in resC | Share verified updates at the market for Cruz-Espiritu household,0.456,0.363,0.425,0.535,0.523,0.405,0.311
184,F,16,2,middle,TRUE,Rosa Salazar-Flores,student,Salazar-Flores,resB,school,227251.67,0.00,42.55,Finish school requirements | Monitor health-center queues in resB | Share verified updates with neighbors for Salazar-Flores household,0.482,0.037,0.437,0.762,0.462,0.445,0.184
185,M,67,1,upper,TRUE,Luis Salazar-Beltran,elder_retiree,Salazar-Beltran,resA,residential_area,617752.64,2089.07,39.61,Protect household routines | Monitor construction complaints in resA | Share verified updates through coworkers for Salazar-Beltran household,0.570,0.530,0.279,0.855,0.331,0.588,0.213
186,M,23,4,lower,TRUE,Oscar Cruz-Baltazar,student,Cruz-Baltazar,resC,school,92734.17,0.00,58.50,Finish school requirements | Monitor permit delays in resC | Share verified updates through family chats for Cruz-Baltazar household,0.436,0.299,0.578,0.410,0.569,0.536,0.159
187,M,28,4,lower,TRUE,Gabriel Quinto,skilled_tradesperson,Quinto,resC,field_service,77865.00,1486.89,42.79,Maintain client referrals | Monitor service quality in resC | Share verified updates during commute routes for Quinto household,0.680,0.344,0.511,0.490,0.763,0.556,0.526
188,M,29,3,lower,TRUE,Vicente Cruz-Macapagal,market_vendor,Cruz-Macapagal,resC,market,84285.48,971.60,50.95,Protect stall income and customers | Monitor family welfare in resC | Share verified updates at the market for Cruz-Macapagal household,0.606,0.061,0.563,0.980,0.738,0.439,0.340
189,F,27,3,lower,TRUE,Ana Yap,barangay_secretary,Yap,resC,barangay_hall,79417.92,1407.00,52.04,Keep barangay paperwork updated | Monitor service quality in resC | Share verified updates through family chats for Yap household,0.453,0.444,0.552,0.577,0.737,0.388,0.298
190,M,46,2,lower,TRUE,Willy Aquino,unemployed_jobseeker,Aquino,resC,residential_area,75441.36,101.25,37.16,Find stable short-term work | Monitor barangay aid lists in resC | Share verified updates through school contacts for Aquino household,0.702,0.273,0.554,0.622,0.500,0.505,0.268
191,F,66,3,lower,TRUE,Yolanda Flores,barangay_treasurer,Flores,resC,barangay_hall,216869.77,1341.49,43.98,Track barangay funds carefully | Monitor construction complaints in resC | Share verified updates through coworkers for Flores household,0.570,0.300,0.481,0.616,0.657,0.314,0.267
192,M,75,4,lower,TRUE,Ricardo Rivera,barangay_kagawad,Rivera,resC,barangay_hall,167923.75,1686.25,58.34,Respond to resident concerns | Monitor transport rumors in resC | Share verified updates through school contacts for Rivera household,0.694,0.526,0.794,0.433,0.851,0.439,0.528
193,F,19,3,middle,TRUE,Lara Salazar-Chua,student,Salazar-Chua,resB,school,228005.77,0.00,36.63,Finish school requirements | Monitor service quality in resB | Share verified updates during commute routes for Salazar-Chua household,0.586,0.244,0.492,0.670,0.842,0.529,0.315
194,M,19,5,middle,TRUE,Xavier Salazar-DeLeon,clerk_office_worker,Salazar-DeLeon,resB,office,423928.29,1079.75,75.99,Keep office relationships stable | Monitor market prices in resB | Share verified updates at community meetings for Salazar-DeLeon household,0.429,0.294,0.576,0.552,0.612,0.507,0.197
195,M,30,4,middle,TRUE,Quirino Yap,clerk_office_worker,Yap,resB,office,323420.61,1000.29,48.13,Keep office relationships stable | Monitor family welfare in resB | Share verified updates through school contacts for Yap household,0.663,0.361,0.475,0.767,0.786,0.239,0.393
196,F,54,5,lower,TRUE,Luzviminda Salazar-Abad,civil_servant_admin,Salazar-Abad,resC,municipal_hall,175833.16,1754.36,27.25,Keep public records accurate | Monitor construction complaints in resC | Share verified updates through family chats for Salazar-Abad household,0.523,0.388,0.427,0.691,0.777,0.423,0.332
197,F,19,3,middle,TRUE,Vanessa Cruz-Quinto,student,Cruz-Quinto,resB,school,345103.02,0.00,39.68,Finish school requirements | Monitor construction complaints in resB | Share verified updates during commute routes for Cruz-Quinto household,0.362,0.148,0.512,0.720,0.509,0.515,0.044
198,M,51,1,middle,TRUE,Christian Salazar-Baltazar,market_vendor,Salazar-Baltazar,resB,market,384767.71,850.14,57.60,Protect stall income and customers | Monitor school attendance in resB | Share verified updates through school contacts for Salazar-Baltazar household,0.266,0.244,0.284,0.422,0.324,0.455,0.000
199,M,40,5,middle,TRUE,Tomas Castro,civil_servant_admin,Castro,resB,municipal_hall,423961.40,1036.99,58.57,Keep public records accurate | Monitor election promises in resB | Share verified updates during barangay visits for Castro household,0.455,0.354,0.641,0.367,0.791,0.521,0.273
200,F,44,4,middle,TRUE,Andrea Cruz-Luna,clerk_office_worker,Cruz-Luna,resB,office,139085.91,1066.80,53.28,Keep office relationships stable | Monitor budget gossip in resB | Share verified updates through family chats for Cruz-Luna household,0.471,0.382,0.379,0.499,0.470,0.452,0.406
201,M,35,4,middle,TRUE,Jerome Quinto,skilled_tradesperson,Quinto,resB,field_service,431936.08,1790.99,41.05,Maintain client referrals | Monitor medicine availability in resB | Share verified updates through family chats for Quinto household,0.630,0.423,0.234,0.432,0.644,0.285,0.000
202,F,15,2,middle,TRUE,Cely Salazar-Rizal,student,Salazar-Rizal,resB,school,219937.66,0.00,48.78,Finish school requirements | Monitor barangay aid lists in resB | Share verified updates through school contacts for Salazar-Rizal household,0.377,0.259,0.536,0.597,0.397,0.390,0.105
203,F,39,5,middle,TRUE,Dolores Cruz-Rodriguez,procurement_officer,Cruz-Rodriguez,resB,municipal_hall,195584.98,2460.47,52.45,Avoid procurement delays | Monitor election promises in resB | Share verified updates through family chats for Cruz-Rodriguez household,0.360,0.443,0.442,0.752,0.909,0.729,0.384
204,F,42,5,middle,TRUE,Nina Hernandez,civil_servant_admin,Hernandez,resB,municipal_hall,300263.15,1433.72,49.50,Keep public records accurate | Monitor barangay aid lists in resB | Share verified updates with neighbors for Hernandez household,0.418,0.425,0.624,0.669,0.855,0.643,0.216
205,F,25,2,middle,TRUE,Isabel Cruz-Dizon,market_vendor,Cruz-Dizon,resB,market,279865.96,1235.75,39.58,Protect stall income and customers | Monitor construction complaints in resB | Share verified updates with neighbors for Cruz-Dizon household,0.488,0.309,0.642,0.646,0.495,0.594,0.278
206,F,17,2,lower,TRUE,Mariel Cruz-Laurel,student,Cruz-Laurel,resC,school,114898.05,0.00,32.82,Finish school requirements | Monitor budget gossip in resC | Share verified updates during barangay visits for Cruz-Laurel household,0.596,0.398,0.661,0.713,0.612,0.389,0.178
207,F,50,3,lower,TRUE,Remedios Cruz-Ocampo,factory_plant_worker,Cruz-Ocampo,resC,factory,78708.90,544.73,63.10,Maintain shift attendance | Monitor service quality in resC | Share verified updates through coworkers for Cruz-Ocampo household,0.627,0.495,0.416,0.586,0.622,0.250,0.169
